




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (1328)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (expected)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (over/under)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (fold Enrichment)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (raw P-value)	H3K36me3_H1.intersect_w_DeepZ.genes_uniq.txt (FDR)
negative regulation of transcription, DNA-templated (GO:0045892)	1297	121	83.63	+	1.45	1.11E-04	6.39E-03
negative regulation of biological process (GO:0048519)	5501	420	354.71	+	1.18	1.13E-04	6.52E-03
positive regulation of biological process (GO:0048518)	6331	476	408.23	+	1.17	1.15E-04	6.58E-03
nucleotide metabolic process (GO:0009117)	425	50	27.40	+	1.82	1.33E-04	7.59E-03
cell-cell adhesion (GO:0098609)	515	13	33.21	-	.39	1.37E-04	7.75E-03
mitochondrial transport (GO:0006839)	235	33	15.15	+	2.18	1.37E-04	7.77E-03
cellular protein complex disassembly (GO:0043624)	138	23	8.90	+	2.58	1.51E-04	8.52E-03
regulation of mRNA catabolic process (GO:0061013)	252	34	16.25	+	2.09	1.55E-04	8.71E-03
localization within membrane (GO:0051668)	615	66	39.66	+	1.66	1.59E-04	8.91E-03
DNA replication (GO:0006260)	273	36	17.60	+	2.05	1.62E-04	9.02E-03
regulation of DNA metabolic process (GO:0051052)	372	45	23.99	+	1.88	1.66E-04	9.22E-03
ribosome assembly (GO:0042255)	62	14	4.00	+	3.50	1.67E-04	9.27E-03
regulation of mRNA stability (GO:0043488)	241	33	15.54	+	2.12	1.69E-04	9.32E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	31	14.31	+	2.17	1.71E-04	9.42E-03
response to endoplasmic reticulum stress (GO:0034976)	260	35	16.77	+	2.09	1.74E-04	9.56E-03
immune response (GO:0006955)	2075	93	133.80	-	.70	1.75E-04	9.56E-03
positive regulation of cell cycle G1/S phase transition (GO:1902808)	47	12	3.03	+	3.96	1.83E-04	9.96E-03
mRNA 3'-end processing (GO:0031124)	88	17	5.67	+	3.00	1.84E-04	1.00E-02
RNA 3'-end processing (GO:0031123)	142	23	9.16	+	2.51	1.92E-04	1.04E-02
response to stimulus (GO:0050896)	8540	482	550.67	-	.88	2.05E-04	1.10E-02
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	89	17	5.74	+	2.96	2.08E-04	1.12E-02
ribosomal large subunit biogenesis (GO:0042273)	72	15	4.64	+	3.23	2.14E-04	1.14E-02
spliceosomal complex assembly (GO:0000245)	56	13	3.61	+	3.60	2.24E-04	1.19E-02
import into nucleus (GO:0051170)	117	20	7.54	+	2.65	2.24E-04	1.19E-02
regulation of RNA stability (GO:0043487)	253	34	16.31	+	2.08	2.36E-04	1.25E-02
nucleoside phosphate metabolic process (GO:0006753)	436	50	28.11	+	1.78	2.35E-04	1.25E-02
cellular component morphogenesis (GO:0032989)	611	18	39.40	-	.46	2.48E-04	1.31E-02
regulation of cellular protein catabolic process (GO:1903362)	256	34	16.51	+	2.06	2.55E-04	1.34E-02
generation of precursor metabolites and energy (GO:0006091)	403	47	25.99	+	1.81	2.83E-04	1.48E-02
ERAD pathway (GO:0036503)	92	17	5.93	+	2.87	2.92E-04	1.52E-02
peptidyl-lysine trimethylation (GO:0018023)	35	10	2.26	+	4.43	2.92E-04	1.52E-02
regulation of megakaryocyte differentiation (GO:0045652)	58	13	3.74	+	3.48	3.01E-04	1.56E-02
defense response to bacterium (GO:0042742)	350	7	22.57	-	.31	3.04E-04	1.57E-02
positive regulation of cell cycle process (GO:0090068)	228	31	14.70	+	2.11	3.13E-04	1.61E-02
regulation of gene silencing by miRNA (GO:0060964)	94	17	6.06	+	2.80	3.64E-04	1.87E-02
complement activation (GO:0006956)	177	1	11.41	-	.09	3.73E-04	1.91E-02
process utilizing autophagic mechanism (GO:0061919)	309	38	19.92	+	1.91	3.88E-04	1.96E-02
regulation of protein catabolic process (GO:0042176)	398	46	25.66	+	1.79	3.86E-04	1.97E-02
autophagy (GO:0006914)	309	38	19.92	+	1.91	3.88E-04	1.97E-02
purine-containing compound metabolic process (GO:0072521)	354	42	22.83	+	1.84	4.02E-04	2.03E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	52	12	3.35	+	3.58	4.05E-04	2.04E-02
protein modification by small protein removal (GO:0070646)	295	37	19.02	+	1.95	4.19E-04	2.10E-02
purine nucleotide metabolic process (GO:0006163)	333	40	21.47	+	1.86	4.18E-04	2.10E-02
positive regulation of RNA splicing (GO:0033120)	37	10	2.39	+	4.19	4.25E-04	2.12E-02
protein-DNA complex subunit organization (GO:0071824)	296	37	19.09	+	1.94	4.28E-04	2.13E-02
regulation of transcription by RNA polymerase II (GO:0006357)	2595	213	167.33	+	1.27	4.29E-04	2.13E-02
establishment of localization (GO:0051234)	4631	355	298.61	+	1.19	4.40E-04	2.17E-02
regulation of response to DNA damage stimulus (GO:2001020)	223	30	14.38	+	2.09	4.52E-04	2.22E-02
positive regulation of histone modification (GO:0031058)	96	17	6.19	+	2.75	4.51E-04	2.22E-02
defense response (GO:0006952)	1426	60	91.95	-	.65	4.65E-04	2.28E-02
positive regulation of chromatin organization (GO:1905269)	121	20	7.80	+	2.56	4.75E-04	2.31E-02
ribose phosphate metabolic process (GO:0019693)	343	41	22.12	+	1.85	4.75E-04	2.32E-02
cell part morphogenesis (GO:0032990)	526	15	33.92	-	.44	4.92E-04	2.39E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	14	32.43	-	.43	5.17E-04	2.50E-02
cell projection morphogenesis (GO:0048858)	507	14	32.69	-	.43	5.26E-04	2.54E-02
histone H4 acetylation (GO:0043967)	54	12	3.48	+	3.45	5.43E-04	2.61E-02
response to bacterium (GO:0009617)	721	24	46.49	-	.52	5.45E-04	2.61E-02
trans-synaptic signaling (GO:0099537)	432	11	27.86	-	.39	5.74E-04	2.74E-02
regulation of cellular protein localization (GO:1903827)	561	59	36.17	+	1.63	5.91E-04	2.81E-02
ER-nucleus signaling pathway (GO:0006984)	39	10	2.51	+	3.98	6.03E-04	2.86E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	24	10.70	+	2.24	6.08E-04	2.88E-02
histone H3 acetylation (GO:0043966)	47	11	3.03	+	3.63	6.31E-04	2.98E-02
regulation of translational initiation (GO:0006446)	81	15	5.22	+	2.87	6.37E-04	3.00E-02
positive regulation of mRNA processing (GO:0050685)	32	9	2.06	+	4.36	6.42E-04	3.01E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	515	55	33.21	+	1.66	6.66E-04	3.10E-02
cellular component disassembly (GO:0022411)	409	46	26.37	+	1.74	6.66E-04	3.11E-02
macroautophagy (GO:0016236)	199	27	12.83	+	2.10	6.71E-04	3.12E-02
neuron projection morphogenesis (GO:0048812)	499	14	32.18	-	.44	6.81E-04	3.16E-02
regulation of proteasomal protein catabolic process (GO:0061136)	187	26	12.06	+	2.16	7.01E-04	3.23E-02
cellular respiration (GO:0045333)	187	26	12.06	+	2.16	7.01E-04	3.24E-02
keratinization (GO:0031424)	227	3	14.64	-	.20	7.06E-04	3.25E-02
protein-containing complex localization (GO:0031503)	259	33	16.70	+	1.98	7.11E-04	3.26E-02
termination of RNA polymerase II transcription (GO:0006369)	40	10	2.58	+	3.88	7.14E-04	3.26E-02
mitotic cell cycle phase transition (GO:0044772)	262	33	16.89	+	1.95	7.59E-04	3.46E-02
complement activation, classical pathway (GO:0006958)	161	1	10.38	-	.10	7.65E-04	3.47E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	1	10.64	-	.09	8.05E-04	3.64E-02
negative regulation of cellular process (GO:0048523)	4902	371	316.09	+	1.17	8.14E-04	3.68E-02
ribonucleotide metabolic process (GO:0009259)	332	39	21.41	+	1.82	8.70E-04	3.91E-02
regulation of cellular localization (GO:0060341)	841	81	54.23	+	1.49	8.70E-04	3.92E-02
P-body assembly (GO:0033962)	14	6	.90	+	6.65	9.06E-04	4.06E-02
synaptic signaling (GO:0099536)	464	13	29.92	-	.43	9.20E-04	4.11E-02
positive regulation of histone methylation (GO:0031062)	42	10	2.71	+	3.69	9.85E-04	4.39E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	76	14	4.90	+	2.86	9.98E-04	4.43E-02
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	3	14.31	-	.21	1.01E-03	4.48E-02
energy derivation by oxidation of organic compounds (GO:0015980)	256	32	16.51	+	1.94	1.04E-03	4.56E-02
protein-DNA complex assembly (GO:0065004)	256	32	16.51	+	1.94	1.04E-03	4.58E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	27	12.96	+	2.08	1.07E-03	4.71E-02
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	36	19.41	+	1.85	1.11E-03	4.84E-02
mRNA cis splicing, via spliceosome (GO:0045292)	21	7	1.35	+	5.17	1.13E-03	4.94E-02
protein polyubiquitination (GO:0000209)	325	38	20.96	+	1.81	1.14E-03	4.96E-02
